subj,graphid,tp,q,pt
13,Q3 A,1,Q3,A
13,Q3 B,1,Q3,B
13,Q3 C,1,Q3,C
13,Q3 D,1,Q3,D
13,Q3 E,1,Q3,E
13,Q4 A,1,Q4,A
13,Q4 B,1,Q4,B
13,Q5 A,0,Q5,A
13,Q5 B,1,Q5,B
13,Q5 C,1,Q5,C
13,Q5 D,1,Q5,D
13,Q6 A,1,Q6,A
13,Q6 B,0,Q6,B
13,Q6 C,1,Q6,C
13,Q7 A,1,Q7,A
13,Q7 B,0,Q7,B
13,Q8 A,1,Q8,A
13,Q8 B,1,Q8,B
13,Q9 A,0,Q9,A
13,Q10 A,1,Q10,A
13,Q10 B,1,Q10,B
13,Q10 C,1,Q10,C
13,Q10 D,1,Q10,D
13,Q11 A,1,Q11,A
13,Q11 B,0,Q11,B
13,Q11 C,1,Q11,C
13,Q11 D,1,Q11,D
13,Q12 A,0,Q12,A
13,Q13 A,1,Q13,A
14,Q2 A,1,Q2,A
14,Q2 B,1,Q2,B
14,Q2 C,0,Q2,C
14,Q3 A,1,Q3,A
14,Q3 B,0,Q3,B
14,Q3 C,0,Q3,C
14,Q3 D,0,Q3,D
14,Q3 E,1,Q3,E
14,Q4 A,0,Q4,A
14,Q4 B,0,Q4,B
14,Q5 A,1,Q5,A
14,Q5 B,0,Q5,B
14,Q5 C,1,Q5,C
14,Q5 D,0,Q5,D
14,Q6 A,1,Q6,A
14,Q6 B,0,Q6,B
14,Q6 C,0,Q6,C
14,Q7 A,1,Q7,A
14,Q7 B,0,Q7,B
14,Q8 A,1,Q8,A
14,Q8 B,0,Q8,B
14,Q9 A,1,Q9,A
14,Q10 A,1,Q10,A
14,Q10 B,0,Q10,B
14,Q10 C,1,Q10,C
14,Q10 D,0,Q10,D
14,Q11 A,0,Q11,A
14,Q11 B,0,Q11,B
14,Q11 C,0,Q11,C
14,Q11 D,0,Q11,D
14,Q12 A,0,Q12,A
14,Q13 A,1,Q13,A
15,Q2 A,0,Q2,A
15,Q2 B,1,Q2,B
15,Q2 C,0,Q2,C
15,Q3 A,0,Q3,A
15,Q3 B,0,Q3,B
15,Q3 C,1,Q3,C
15,Q3 D,0,Q3,D
15,Q3 E,0,Q3,E
15,Q4 A,0,Q4,A
15,Q4 B,1,Q4,B
15,Q5 A,0,Q5,A
15,Q5 B,0,Q5,B
15,Q5 C,1,Q5,C
15,Q5 D,0,Q5,D
15,Q6 A,1,Q6,A
15,Q6 B,0,Q6,B
15,Q6 C,0,Q6,C
15,Q7 A,0,Q7,A
15,Q7 B,0,Q7,B
15,Q8 A,0,Q8,A
15,Q8 B,0,Q8,B
15,Q9 A,0,Q9,A
15,Q10 A,0,Q10,A
15,Q10 B,1,Q10,B
15,Q10 C,0,Q10,C
15,Q10 D,0,Q10,D
15,Q11 A,0,Q11,A
15,Q11 B,1,Q11,B
15,Q11 C,0,Q11,C
15,Q11 D,0,Q11,D
15,Q12 A,1,Q12,A
15,Q13 A,0,Q13,A
16,Q2 A,0,Q2,A
16,Q2 B,1,Q2,B
16,Q2 C,0,Q2,C
16,Q3 A,1,Q3,A
16,Q3 B,1,Q3,B
16,Q3 C,1,Q3,C
16,Q3 D,1,Q3,D
16,Q3 E,1,Q3,E
16,Q4 A,1,Q4,A
16,Q4 B,1,Q4,B
16,Q5 A,0,Q5,A
16,Q5 B,1,Q5,B
16,Q5 C,1,Q5,C
16,Q5 D,1,Q5,D
16,Q6 A,1,Q6,A
16,Q6 B,1,Q6,B
16,Q6 C,0,Q6,C
16,Q7 A,1,Q7,A
16,Q7 B,0,Q7,B
16,Q8 A,0,Q8,A
16,Q8 B,0,Q8,B
16,Q9 A,0,Q9,A
16,Q10 A,1,Q10,A
16,Q10 B,1,Q10,B
16,Q10 C,1,Q10,C
16,Q10 D,1,Q10,D
16,Q11 A,1,Q11,A
16,Q11 B,0,Q11,B
16,Q11 C,1,Q11,C
16,Q11 D,1,Q11,D
16,Q12 A,0,Q12,A
16,Q13 A,1,Q13,A
17,Q2 A,0,Q2,A
17,Q2 B,0,Q2,B
17,Q2 C,1,Q2,C
17,Q3 A,1,Q3,A
17,Q3 B,0,Q3,B
17,Q3 C,0,Q3,C
17,Q3 D,0,Q3,D
17,Q3 E,0,Q3,E
17,Q4 A,1,Q4,A
17,Q4 B,0,Q4,B
17,Q5 A,0,Q5,A
17,Q5 B,0,Q5,B
17,Q5 C,1,Q5,C
17,Q5 D,0,Q5,D
17,Q6 A,0,Q6,A
17,Q6 B,0,Q6,B
17,Q6 C,1,Q6,C
17,Q7 A,1,Q7,A
17,Q7 B,0,Q7,B
17,Q8 A,0,Q8,A
17,Q8 B,1,Q8,B
17,Q9 A,0,Q9,A
17,Q10 A,1,Q10,A
17,Q10 B,0,Q10,B
17,Q10 C,0,Q10,C
17,Q10 D,0,Q10,D
17,Q11 A,0,Q11,A
17,Q11 B,0,Q11,B
17,Q11 C,0,Q11,C
17,Q11 D,0,Q11,D
17,Q12 A,1,Q12,A
17,Q13 A,1,Q13,A
18,Q2 A,0,Q2,A
18,Q2 B,0,Q2,B
18,Q2 C,1,Q2,C
18,Q3 A,0,Q3,A
18,Q3 B,0,Q3,B
18,Q3 C,1,Q3,C
18,Q3 D,1,Q3,D
18,Q3 E,1,Q3,E
18,Q4 A,1,Q4,A
18,Q4 B,1,Q4,B
18,Q5 A,0,Q5,A
18,Q5 B,1,Q5,B
18,Q5 C,1,Q5,C
18,Q5 D,0,Q5,D
18,Q6 A,0,Q6,A
18,Q6 B,0,Q6,B
18,Q6 C,1,Q6,C
18,Q7 A,1,Q7,A
18,Q7 B,0,Q7,B
18,Q8 A,0,Q8,A
18,Q8 B,1,Q8,B
18,Q9 A,0,Q9,A
18,Q10 A,1,Q10,A
18,Q10 B,1,Q10,B
18,Q10 C,1,Q10,C
18,Q10 D,1,Q10,D
18,Q11 A,1,Q11,A
18,Q11 B,0,Q11,B
18,Q11 C,1,Q11,C
18,Q11 D,1,Q11,D
18,Q12 A,0,Q12,A
18,Q13 A,1,Q13,A
19,Q2 A,1,Q2,A
19,Q2 B,1,Q2,B
19,Q2 C,0,Q2,C
19,Q3 A,1,Q3,A
19,Q3 B,0,Q3,B
19,Q3 C,0,Q3,C
19,Q3 D,0,Q3,D
19,Q3 E,1,Q3,E
19,Q4 A,0,Q4,A
19,Q4 B,0,Q4,B
19,Q5 A,1,Q5,A
19,Q5 B,0,Q5,B
19,Q5 C,1,Q5,C
19,Q5 D,0,Q5,D
19,Q6 A,1,Q6,A
19,Q6 B,0,Q6,B
19,Q6 C,0,Q6,C
19,Q7 A,1,Q7,A
19,Q7 B,0,Q7,B
19,Q8 A,1,Q8,A
19,Q8 B,0,Q8,B
19,Q9 A,0,Q9,A
19,Q10 A,1,Q10,A
19,Q10 B,0,Q10,B
19,Q10 C,1,Q10,C
19,Q10 D,0,Q10,D
19,Q11 A,0,Q11,A
19,Q11 B,0,Q11,B
19,Q11 C,0,Q11,C
19,Q11 D,0,Q11,D
19,Q12 A,0,Q12,A
19,Q13 A,1,Q13,A
20,Q2 A,1,Q2,A
20,Q2 B,0,Q2,B
20,Q2 C,0,Q2,C
20,Q3 A,1,Q3,A
20,Q3 B,1,Q3,B
