subj,uniBrown,expExec,tpChange,tpRate,tpDir,tpNoReturn,tellMgr,impChange,impRise,impFall,impPeriodic,numOtherTP,liwcPosemo,liwcNegemo,liwcCause,liwcFocusPre,liwcFocusFut,liwcRelativ,liwcTime
40,0,0,1,0,1,0,1,80,90,90,50,3,3.03,0,9.09,9.09,0,21.21,6.06
41,0,0,0,0,0,0,1,50,79,78,53,3,0,0,25,25,0,12.5,12.5
42,0,0,1,0,1,0,0,,74,79,,0,0,0,0,20,0,30,0
43,0,0,1,0,0,0,1,76,74,27,75,1,9.09,0,0,18.18,0,27.27,9.09
44,0,0,1,0,1,1,,,,,,4,5.56,0,0,11.11,0,22.22,0
45,0,0,1,0,1,0,1,53,26,79,0,1,0,16.67,0,16.67,0,50,0
46,0,0,1,0,1,0,1,80,80,86,,1,0,0,0,5.26,0,26.32,5.26
47,0,0,0,0,1,0,0,,100,100,,3,0,7.14,0,7.14,0,35.71,0
48,0,0,1,0,0,0,1,52,84,84,52,6,0,0,5.26,10.53,5.26,36.84,10.53
49,0,0,1,0,0,0,1,61,72,51,83,0,0,0,0,10,0,30,0
50,0,0,1,0,1,1,1,,100,,50,0,9.52,0,9.52,19.05,4.76,19.05,9.52
51,0,0,1,0,0,0,1,100,100,100,20,0,0,0,0,12.5,0,37.5,0
52,0,0,1,0,0,1,1,8,49,99,8,4,0,0,0,14.29,14.29,42.86,0
53,0,0,1,0,1,1,1,80,50,50,40,4,6.67,0,0,6.67,0,33.33,6.67
54,0,0,1,1,1,0,1,0,100,,50,0,2.63,0,5.26,10.53,0,21.05,5.26
55,0,0,0,0,0,0,1,0,100,100,,1,4,0,0,8,4,16,0
56,0,0,1,0,1,0,1,95,73,82,59,0,6.45,0,0,22.58,0,22.58,9.68
57,0,0,1,1,0,0,1,69,79,80,92,0,0,0,6.67,13.33,0,33.33,13.33
58,0,0,1,1,0,0,1,83,85,86,57,1,7.14,0,0,7.14,7.14,35.71,14.29
59,0,0,1,1,0,1,1,82,30,100,51,2,0,0,0,0,0,23.08,0
60,0,0,1,0,0,0,,,,,,,50,0,0,0,0,0,0
61,0,0,1,0,1,0,,,,,,,0,0,0,0,0,20,10
62,0,0,1,0,0,0,,,,,,,0,0,7.69,7.69,0,30.77,0
